Date,KOSPI,KOSPI200,KOSDAQ,KIS_BOND
2000-12-29,505.124,63.35,525.8372,100
2001-01-31,618.6094,77.9904,843.6597,102.09387
2001-02-28,578.7543,72.1496,767.6543,102.82035
2001-03-30,523.8204,65.1687,684.3484,102.07797
2001-04-30,578.9416,72.5945,789.7559,102.09481
2001-05-31,613.8369,76.2417,813.5576,104.04493
2001-06-29,596.7602,73.3459,768.7544,105.43465
2001-07-31,543.0335,67.1135,680.9482,106.46665
2001-08-31,546.6032,67.5544,618.4437,107.71533
2001-09-28,481.034,59.0302,516.4996,109.46859
2001-10-31,539.3281,66.5756,625.6534,108.69738
2001-11-30,645.7136,80.1933,705.373,108.45803
2001-12-31,709.6781,87.1611,731.2455,108.78519
2002-01-31,767.2156,93.2908,783.3993,109.50935
2002-02-28,840.9762,102.9519,797.0704,110.74557
2002-03-29,919.9603,112.2855,939.2312,110.26207
2002-04-30,865.2709,106.8137,742.8434,111.007
2002-05-31,818.0803,101.2015,706.7983,112.10817
2002-06-28,763.5053,94.1303,616.5663,113.41601
2002-07-31,738.0832,90.5837,593.9834,114.29854
2002-08-30,757.0084,92.9849,598.9817,115.27179
2002-09-30,664.5456,81.7544,473.3964,116.06039
2002-10-31,677.3961,83.4926,487.0305,116.69412
2002-11-29,745.1329,92.4849,526.0538,117.36406
2002-12-31,660.2322,82.0956,456.0148,118.35156
2003-01-31,622.6835,77.3161,446.0433,119.91586
2003-02-28,605.3979,74.88,429.4927,120.74338
2003-03-31,564.431,70.0028,388.3985,120.6997
2003-04-30,631.4947,78.6439,440.1264,121.4649
2003-05-30,667.392,82.841,485.1796,122.57605
2003-06-30,706.5699,88.0119,511.8463,122.53656
2003-07-31,752.544,94.2419,507.5252,122.72083
2003-08-29,801.0071,100.4924,509.6857,123.68155
2003-09-30,735.6871,92.2133,461.6074,124.9988
2003-10-31,825.1759,104.4569,477.2747,124.67815
2003-11-28,839.7565,106.6914,471.7178,124.22135
2003-12-31,873.4745,110.6942,468.1746,124.82952
2004-01-30,914.1901,116.6703,460.61,125.18939
2004-02-27,951.8201,121.9625,447.2857,126.20258
2004-03-31,949.6042,122.0773,453.1692,127.46727
2004-04-30,930.5652,118.3091,473.3282,128.23457
2004-05-31,866.9342,109.6148,418.486,129.26395
2004-06-30,851.0893,107.6946,402.4604,129.70727
2004-07-30,796.8431,100.737,346.0692,130.79369
2004-08-31,870.7857,108.7943,371.6161,132.88383
2004-09-30,904.983,113.8698,378.3914,133.47422
2004-10-29,904.7189,114.187,373.1707,134.21716
2004-11-30,951.5611,119.9075,390.3012,134.89845
2004-12-31,993.6303,124.8064,403.9952,135.44921
2005-01-31,1034.4238,131.0981,502.357,133.39364
2005-02-28,1121.6706,141.6999,529.3799,133.99019
2005-03-31,1071.9211,135.1946,483.5562,134.72471
2005-04-29,1011.57,127.3937,451.0104,135.73023
2005-05-31,1076.9635,135.2596,501.0423,136.66139
2005-06-30,1121.4535,140.5472,534.9972,136.00024
2005-07-29,1236.1779,155.6303,581.2132,135.93074
2005-08-31,1205.0854,152.1229,535.784,136.65041
2005-09-30,1358.7735,171.1115,608.133,136.00298
2005-10-31,1288.7932,161.6517,624.6562,135.51989
2005-11-30,1443.8537,180.2345,757.4964,135.62372
2005-12-30,1558.009,195.6425,752.3134,136.34878
2006-01-31,1581.1276,199.193,739.9319,137.48144
2006-02-28,1549.2407,195.6645,731.4846,138.41096
2006-03-31,1537.5975,194.482,713.3586,138.82092
2006-04-28,1605.6248,203.1901,735.0528,139.80529
2006-05-31,1490.2379,188.7427,676.1362,140.6669
2006-06-30,1466.3075,185.0209,633.6194,140.7584
2006-07-31,1469.3385,186.1921,598.199,141.71518
2006-08-31,1531.5279,193.8493,614.4718,142.59276
2006-09-29,1552.9012,196.7615,644.1857,143.82222
2006-10-31,1545.1559,195.4243,628.8488,143.92749
2006-11-30,1621.7798,204.3977,667.5496,144.16786
2006-12-29,1651.9584,208.4327,655.686,144.35458
2007-01-31,1566.4819,197.8643,623.4723,144.78868
2007-02-28,1632.2646,205.9705,650.0394,145.74786
2007-03-30,1677.2995,211.3848,702.2637,146.51506
2007-04-30,1780.8915,223.723,731.361,146.28574
2007-05-31,1964.1189,243.8925,809.2605,146.59598
2007-06-29,2014.8616,249.5577,842.7922,146.71367
2007-07-31,2234.0486,275.5047,878.3248,147.632
2007-08-31,2164.6919,268.6937,838.9434,147.51541
2007-09-28,2249.3985,278.7523,859.9948,147.92464
2007-10-31,2386.2145,293.6597,876.8106,148.69998
2007-11-30,2202.6504,272.7871,802.9592,148.10238
2007-12-31,2222.7986,276.0165,767.8254,148.46316
2008-01-31,1903.5872,237.692,663.8212,152.15131
2008-02-29,2005.6146,248.0797,715.1746,153.14705
2008-03-31,1999.2817,249.2548,702.9099,153.21796
2008-04-30,2141.8301,269.1242,705.713,154.58328
2008-05-30,2173.3284,271.9414,711.3084,153.37257
2008-06-30,1967.2149,244.7306,643.8897,152.62884
2008-07-31,1872.9694,233.9566,588.5221,153.18791
2008-08-29,1731.5261,216.5807,513.0732,153.66256
2008-09-30,1701.2781,213.9633,480.9152,154.23602
2008-10-31,1307.7856,169.1115,336.1064,156.11105
2008-11-28,1264.3342,161.2693,335.5063,156.1656
2008-12-31,1340.6598,170.2998,366.0223,163.52236
2009-01-30,1385.5452,176.0948,402.2332,164.532
2009-02-27,1267.4203,160.6648,400.3703,164.63737
2009-03-31,1439.8898,182.8605,464.6557,165.47852
2009-04-30,1634.5973,204.9771,552.3519,167.98635
2009-05-29,1666.2699,208.1216,583.0247,167.54991
2009-06-30,1660.5492,208.599,535.0291,167.39889
2009-07-31,1860.3165,236.5342,556.2031,167.67366
2009-08-31,1901.8575,241.7553,567.6208,167.74246
2009-09-30,1999.0332,256.1038,558.028,168.55998
2009-10-30,1888.5925,241.0231,536.5621,169.08195
2009-11-30,1858.6239,238.6223,512.1419,171.08781
2009-12-31,2035.1534,261.6578,570.4589,170.61194
2010-01-29,1937.9985,248.0713,551.5758,172.16639
2010-02-26,1928.51,245.7361,563.1944,173.9015
2010-03-31,2049.8279,261.5088,572.9246,175.99102
2010-04-30,2108.8269,269.0267,581.8227,177.12779
2010-05-31,1987.3684,252.9641,543.6862,176.93901
2010-06-30,2059.3997,261.0959,544.4277,177.36926
2010-07-30,2133.4294,271.0266,534.9498,178.49442
2010-08-31,2113.3288,268.142,516.3533,180.70898
