Date,coef,conf_L,conf_H,MIN-MAX norm,FWD 6M RETURN,DM Equity,EM Equity,KR Equity,US_TRSY,EM_TRSY,COMDTY,GOLD,HY,CREDIT,REIT,CASH,GLOBAL_LR,DM_LR,EM_LR,KOSPI_LR,US_TRSY_LR,EM_TRSY_LR,COMDTY_LR,GOLD_LR,HY_LR,CREDIT_LR,REIT_LR,CASH_LR,Global Equity,DM Equity,EM Equity,KR Equity,US_TRSY_LR,EM_TRSY_LR,COMDTY_LR,GOLD_LR,HY_LR,CREDIT_LR,REIT_LR,CASH_LR,GLOBAL_LR,DM_LR,EM_LR,KOSPI_LR,US_TRSY_LR,EM_TRSY_LR,COMDTY_LR,GOLD_LR,HY_LR,CREDIT_LR,REIT_LR,CASH_LR,G7 CLI,MSCI AC World,CBOE VIX,AAII Sentiment Bullish
2006-01-31,1.906977528,0.418725733,3.395229322,91.59630615,2.116047402,-3.400670522,18.05799225,3.665911758,-5.651338183,-1.122567767,-26.03464836,32.98967729,-5.570448178,-7.396672351,-12.19583998,6.658604046,4.814303251,4.386091795,10.46663603,1.472952848,-0.298453722,1.19030424,4.242809147,10.31651251,2.096851485,1.115646126,7.54636118,0.341414831,,,,,,,,,,,,,,,,,,,,,,,,,101.07227,368.346465,12.95,30.77
2006-02-28,1.190321198,-1.272139942,3.652782337,83.2036635,4.83821052,1.719023465,27.09175487,18.83104068,-9.107931493,1.656963452,-64.89906568,31.937767,-3.863724827,-12.07711423,6.227658015,2.483628745,-0.107832861,-0.099339053,-0.169234587,-2.037323276,0.145439092,2.198136235,-10.65210519,-2.267267601,0.90985666,-0.373385146,2.118105606,0.348940722,,,,,,,,,,,,,,,,,,,,,,,,,101.20475,368.940295,12.34,43.21
2006-03-31,0.636689738,-1.300799106,2.574178582,76.7201779,3.896380697,5.241148421,19.05989624,3.786378676,-9.578406432,-4.363126763,-46.3030196,27.34375119,-2.263879068,-11.38280881,19.64464669,-1.184580539,2.136498034,2.229618029,0.916229191,-0.754386836,-1.084875282,-1.916136105,5.003136009,4.570215348,0.249746466,-1.061971095,4.992598558,0.355630891,,,,,,,,,,,,,,,,,,,,,,,,,101.29291,376.813781,11.39,37.21
2006-04-28,1.902209269,0.078039916,3.726378622,91.54046587,4.279091899,3.870955045,25.8614744,-3.087076222,-10.74350974,-8.40617496,-36.03074294,34.78335146,-3.594046129,-7.882393332,1.744014156,3.484148269,3.319478934,3.040354287,6.864368521,4.329185163,-0.412940323,-0.08451657,6.140961432,10.12282784,1.113314134,1.626160593,-3.856962238,0.356467175,,,,,,,,,,,,,,,,,,,,,,,,,101.33436,380.766805,11.59,42.11
2006-05-31,0.692654179,-0.71898018,2.104288538,77.37556812,11.05046468,1.850284171,6.295362984,-16.26539911,-10.26451271,-9.539789991,-7.428848877,39.70912908,-0.407501461,-2.852302173,0.212560791,-1.308982704,-3.934394571,-3.381798047,-11.05644176,-7.457716793,0.03309805,-2.070266864,-0.772609537,1.387840317,-0.273709852,1.141824102,-2.807379413,0.363994177,,,,,,,,,,,,,,,,,,,,,,,,,101.33513,361.943685,16.44,33.04
2006-06-30,0.209606223,-1.087796016,1.507008461,71.71867414,13.30153274,3.259889063,3.033374878,-23.58221298,-9.971804873,-9.581213427,-0.673705656,26.40406527,-0.561943177,-3.903244257,17.60020929,-2.023414124,0.002185309,0.015714082,-0.21052103,-1.618852021,0.318189106,-0.005754899,1.155741203,-6.239686513,-0.412162353,-0.667717445,5.533516527,0.363994182,12.46047619,12.38128218,13.62207274,-12.13228183,-2.599086157,-1.376467925,10.23586613,35.7808838,7.367793082,3.561114269,27.05248044,4.260883957,,,,,,,,,,,,,101.32681,363.095269,13.08,38.6
2006-07-31,-0.288897798,-1.223528388,0.645732793,65.88077677,13.60316077,0.710552586,-6.681420365,-15.77390509,-6.146107644,-2.865796255,4.010132675,17.41025664,0.652511291,-2.77324738,15.20049317,-3.743469631,0.700112558,0.642026461,1.440203506,0.206502136,1.230857137,3.219371755,1.985373705,3.049995645,1.657943468,1.187243209,3.489021494,0.383232451,4.232094805,4.893151516,-4.430792314,-14.66518325,0.459535561,2.681667104,5.720995242,21.24785007,6.489977047,3.704308434,18.93780107,4.344519197,,,,,,,,,,,,,101.33191,364.90931,14.95,34.88
2006-08-31,0.059007687,-0.712674683,0.830690058,69.95503983,10.50325211,1.918624734,-7.796234455,-11.35370705,-4.847512619,-4.716182276,3.006960179,14.41816744,0.277971174,-0.499855294,12.79722268,-3.205454508,2.614330257,2.620001564,2.556684088,4.145354874,1.457025987,2.569180809,-7.534323799,-1.433145548,1.846482127,1.500902016,3.305227078,0.387415146,9.676421041,10.33183275,1.021045035,-2.299826955,3.08270935,3.423756251,11.95655802,22.91609417,8.363227981,7.452882759,21.31204401,4.421468044,,,,,,,,,,,,,101.3697,373.530596,12.31,39.35
2006-09-29,-0.659117962,-1.452120469,0.133884545,61.54519023,11.34000237,4.019205361,0.38392321,4.748791967,-2.098375428,1.387585671,-18.51665138,2.970135329,1.871713771,0.946151495,12.36859291,-8.081072906,1.194668211,1.222497375,0.841697649,1.385903127,0.924188885,0.557873949,-11.32407117,-3.966989181,0.941052667,0.153148709,1.927015005,0.390761498,7.792761394,8.317591444,0.871981949,1.980752972,7.100837684,8.371776358,-20.69785633,5.841685117,9.745840383,9.883122368,15.18087691,4.491729259,,,,,,,,,,,,,101.44577,379.691532,11.98,51.32
2006-10-31,-1.270474896,-2.88374205,0.342792257,54.38569122,12.02119164,7.799753431,2.016312469,3.709224069,-2.402231263,5.281773175,-27.59293203,-12.25229624,2.257014967,-1.797195123,36.13704846,-13.15647191,3.702190135,3.624710595,4.671638722,-0.500009205,0.506407049,1.838301817,-2.601818398,0.748133165,1.687999127,1.135185697,6.112153936,0.383232532,8.558183797,9.486304059,-3.513477649,-7.677635764,8.939532427,12.21741313,-38.183416,-12.90770423,10.89521037,8.901172577,35.11910925,4.545259972,,,,,,,,,,,,,101.54858,391.28467,11.1,52.17
