Date,ST_MACRO,LT_MACRO,EM_MACRO,G7_OECD,KR_CLI,KR_INDUSTRIAL,KR_EXPORT,KR_RETAIL,KR_CONSUMER,RATE_SPREAD,DXY,CVIX,EMBI,FX,VIX,VKOSPI,CDS_PREM,F_NET_BUYING,DM_turbulence,EM_Turbulence,KR_Turbulence,KR_Systemic,GRCI,KRCI,GRCI_STABLE,GRCI_CRISIS,KRCI_STABLE,KRCI_CRISIS,MSCI_ACWI,KOSPI
2002-01-04,0.21,0.32,,,,,,,,1.97,116.33,9.95,,"1,302.50",20.45,,,"36,394",,,,,,,,,,,245.1,747.72
2002-01-11,0.39,0.36,,,,,,,,2.14,116.64,9.45,,"1,310.50",22.6,,,"32,192",,,,,,,,,,,238.82,727.36
2002-01-18,0.51,0.38,,,,,,,,1.96,117.64,9.13,,"1,318.00",22.52,,,"21,383",,,,,,,,,,,234.78,708.47
2002-01-25,0.31,0.29,,,,,,,,1.89,119.85,9.53,,"1,327.50",21.01,,,"22,095",,,,,,,,,,,234.59,774.68
2002-02-01,0.3,0.29,,,,,,,,1.92,119.69,9.16,713,"1,315.50",21.12,,,"18,767",0.64,0.85,0.63,0,,,,,,,232.1,742.42
2002-02-08,0.48,0.36,,,,,-10,,,1.97,118.98,9.17,713,"1,320.50",23.26,,,"14,554",0.64,0.85,0.63,0,,,,,,,227.83,739.66
2002-02-15,0.18,0.27,,,,,-10,,,1.93,118.55,8.79,713,"1,311.50",22.37,,,"14,310",0.64,0.85,0.63,0,,,,,,,231.08,783.59
2002-02-22,0.4,0.31,,,,,-10,,,1.89,118.48,8.6,713,"1,321.50",22.86,,,"6,667",0.64,0.85,0.63,0,,,,,,,227.25,792
2002-03-01,0.17,0.21,,99.18,,,-17.5,,,1.8,119.4,8.23,644,"1,321.00",19.96,,66.25,"1,002",0.94,0.62,0.77,0,,,,,,,235.46,819.99
2002-03-08,0.09,0.13,,99.18,101.1,5.4,-17.5,9.61,#N/A,1.77,117.99,8.35,644,"1,314.30",19.27,,60,"-1,964",0.94,0.62,0.77,0,,,,,,,244.86,825.27
2002-03-15,0.13,0.1,,99.18,101.1,5.4,-17.5,9.61,#N/A,1.75,117.18,8.34,644,"1,319.10",18.42,,52.5,"-9,918",0.94,0.62,0.77,0,,,,,,,244.85,860.36
