리스크 지표,Description
단기 매크로리스크,"씨티 매크로 리스크는 금융시장의 위험을 반영하는 글로벌 신용위험지표. 주식 시장의 기대 변동성(VIX)과 환율 변동성, 금리 변동성, 은행 간 신용 스프레드, 회사채 신용부도스왑, EMBI + 스프레드를 종합하여 산출한 리스크 지표. 0~1 사이에서 움직이며 0.5pt 이상일 경우 채권과 같은 안전자산을 선호함을 의미. 0.5pt 미만일 경우 주식 등 위험자산을 선호하는 것으로 해석. 단기 매크로 리스크 지수는 일반 매크로 리스크 지수보다 짧은 20 거래일간의 리스크를 측정."
장기 매크로리스크,"씨티 매크로 리스크는 금융시장의 위험을 반영하는 글로벌 신용위험지표. 주식 시장의 기대 변동성(VIX)과 환율 변동성, 금리 변동성, 은행 간 신용 스프레드, 회사채 신용부도스왑, EMBI + 스프레드를 종합하여 산출한 리스크 지표. 0~1 사이에서 움직이며 0.5pt 이상일 경우 채권과 같은 안전자산을 선호함을 의미. 0.5pt 미만일 경우 주식 등 위험자산을 선호하는 것으로 해석. 260 거래일 간의 리스크를 측정."
EM 매크로리스크,"씨티 매크로 리스크는 금융시장의 위험을 반영하는 신흥시장의 신용위험지표. 주식 시장의 기대 변동성(VIX)과 환율 변동성, 금리 변동성, 은행 간 신용 스프레드, 회사채 신용부도스왑, EMBI + 스프레드를 종합하여 산출한 리스크 지표. 0~1 사이에서 움직이며 0.5pt 이상일 경우 채권과 같은 안전자산을 선호함을 의미. 0.5pt 미만일 경우 주식 등 위험자산을 선호하는 것으로 해석. 260 거래일간의 리스크를 측정."
G7 OECD 경기선행지수,"OECD 경기선행지수(Composite Leading Indicators Index)는 평균 주당노동시간, 신규 수주, 소비자 예상, 주택허가건수, 주식가격, 금리 스프레드 등을 포함한 10개의 선행지표를 조합하여 경제의 건강도를 측정. 경제활동의 팽창과 둔화 사이의 전환점에 대한 조기 신호를 제공. OECD에서 월간 단위로 발표. 평균인 100pt을 기준으로 100을 하회할 경우 경기 하강 국면, 상회할 경우 경기 상승 국면으로 진단. CLI는 2개월 지연이 있어 두 달 전의 지표를 현재 시점에 대입하여 해석. 지수의 상승률과 하락률에 주목하는 것을 권장. "
KR 선행지수 순환변동치,"향후 경기의 국면 및 전환점을 단기 예측하는데 활용. 통상 지표가 현재까지와 반대방향으로 2분기 이상 연속하여 움직이면 이 시점을 경기전환점 신호로 간주. 여기에 과거의 평균 선행시차를 더하면 향후 국면전환이 발생할 시점을 대략 추정 가능. 평균인 100pt을 기준으로 100을 하회할 경우 경기 하강 국면, 상회할 경우 경기 상승 국면. 1개월 지연 있음."
KR 광공업 생산(YoY %),"광공업생산지수는 광업, 제조업, 전기가스업을 대상으로 이루어진 산업생산활동의 수준을 나타냄. 전체경기의 흐름과 유사하게 움직이는 대표적인 동행지표. 경기동향을 파악할 때 GDP와 함께 핵심적인 지표로 사용. 일반적으로 경기가 하강하는  경우 출하는 즉시 감소하나 기업이 생산을 급격히 줄이기 어렵기 때문에 재고가 증가. 반면 경기 회복기에는 출하가 증가하면서 재고가 감소되고 뒤따라서 생산이 증가. 1개월 지연 있음. YOY% 사용.
"
KR 수출 증감률(YoY %),한국에서 나가는 상품무역의 가치로 측정. 통상적으로 한국의 수출 증가율과 KOSPI는 밀접한 상관관계가 있는 것으로 알려짐. YoY% 사용.
KR 소매 판매(YoY %),"소매판매액지수는 소비동향을 파악하기 위해 작성되는 지표로 백화점, 대형마트, 면세점, 슈퍼마켓, 전문소매점, 편의점 등에서 매월 판매금액을 조사하여 작성하는 통계. 1개월 지연 있으며 YoY% 사용."
KR 소비자 심리지수,"한국은행이 매월 전국 2,200가구를 대상으로 실시하는 소비자동향조사에서 산출하는 소비자동향지수 중 현재생활형편, 생활형편전망, 가계수입전망, 소비지출전망, 현재경기판단, 향후경기전망에 대한 6개의 개별지수를 표준화하여 합성한 지수로, 소비자심리를 종합적으로 판단하는 데 이용. 6개 개별 표준화 지수를 합산한 후, 이를 다시 표준화하여 소비자심리지수의 장기평균이 100, 장기표준편차가 10이 되도록 재조정하여 산출. 합성지수는 기준치(100) 중심의 대칭적 움직임을 보여 소비자 심리에 대한 균형적 판단이 가능

"
미 장단기 금리 스프레드,경기 선행지수를 구성하는 요소로서 향후 경기의 판단에 유용한 지표. 일반적으로 장단기 금리가 역전되면 경기침체의 전조로 해석. 미국채 10년물 – 2년물 금리. 
