Date,KOSPI,VKOSPI,긍정적,부정적,감성지수,IT,건강관리,경기관련소비재,금융,산업재,소재,에너지,유틸리티,커뮤니케이션서비스,필수소비재
2008-04-01,"1,825",22.04,69.61851762,18.48939431,39.23703524,43.11220025,57.43396226,39.10505837,22.31054584,45.67677682,33.6886182,28.18371608,59.64391691,30.75125209,35.02762431
2008-05-01,"1,852",23.06,72.15690751,17.11752844,44.31381501,47.80600462,64.07432897,45.13692162,27.73419474,50.99230458,42.23263076,31.83673469,46.53465347,33.13069909,37.62376238
2008-06-01,"1,675",25.15,73.88647315,16.00658127,47.77294629,50.54110806,66.75712347,49.81235927,31.66666667,52.76125743,49.3957115,33.33333333,43.64640884,33.52333452,46.38971316
2008-07-01,"1,595",23.82,71.36698282,18.27286595,42.73396564,42.26804124,60.11299435,42.22792388,27.71403354,48.91497688,51.20207927,33.2197615,41.23006834,29.33789954,43.76528117
2008-08-01,"1,474",25.66,70.08575319,20.13911891,40.17150639,39.04421326,59.68092821,37.82668501,27.11621234,46.58151766,50.37800687,29.93348115,32.52427184,25.90815627,42.83276451
2008-09-01,"1,448",36.78,67.84747748,22.34115604,35.69495496,33.40188518,54.76575121,31.97381672,18.53997683,42.19904389,48.15642458,33.33333333,29.24791086,25.48209366,38.92433911
2008-10-01,"1,113",81.27,62.83946841,26.73940383,25.67893681,24.5994345,41.6119403,18.76026273,5.949895616,31.80439727,36.93752023,27.70137525,17.02898551,22.99872935,24.77660439
2008-11-01,"1,076",57.79,60.89758652,29.09603572,21.79517304,26.73233696,41.22137405,15.96051008,-0.649631875,23.82133995,24.2318657,23.43470483,10.01890359,24.1943734,19.88261189
2008-12-01,"1,124",48.61,61.0073831,29.25020509,22.0147662,24.64722484,45.39170507,15.65762004,-2.201834862,24.71550498,18.10973676,26.38230648,8.846153846,29.11138924,21.14597544
2009-01-01,"1,162",48.21,59.30277066,30.22406737,18.60554132,19.56489346,43.72375175,11.50541651,-2.584318879,22.01994618,13.49292709,22.50639386,9.54954955,23.46741235,20.42866711
2009-02-01,"1,063",47.36,60.53028475,29.19280888,21.0605695,25.52326457,51.34849286,15.39068666,-0.483759502,24.69252602,14.10433343,21.18380062,2.564102564,24.08083759,22.76422764
2009-03-01,"1,206",39.56,63.20509872,26.42662374,26.41019744,31.04086353,53.07692308,19.62616822,5.57209698,31.20176406,20.31615925,32.02614379,3.686635945,27.42148324,26.19392185
2009-04-01,"1,369",34.57,65.56544943,23.66795255,31.13089886,40.80137872,50.70422535,25.11965963,8.83089024,33.60548661,28.4901758,38.9133627,2.564102564,30.76557299,27.28468113
2009-05-01,"1,396",33.42,69.55685692,20.81694491,39.11371384,52.30700314,56.9550931,36.20135666,14.9037037,39.62144107,37.97927461,54.98489426,-3.777335984,39.73799127,31.02595797
2009-06-01,"1,390",27.26,73.74127617,17.36041874,47.48255234,58.45004669,60.85450346,45.38634659,30.4670126,45.46377793,47.37979471,59.76676385,17.4796748,45.99888081,39.32729625
2009-07-01,"1,557",25.62,74.15693728,16.82052674,48.31387456,57.80080599,59.50452596,49.69120347,32.8659071,45.97986283,51.28320576,48.16687737,29.52380952,43.20457797,42.4263194
2009-08-01,"1,592",23.97,75.13227513,16.39061422,50.26455026,60.28639618,61.88907194,53.40018232,39.53089245,45.86670697,54.62920313,40.86538462,39.21971253,41.01712241,47.3965287
2009-09-01,"1,673",22.85,76.0731175,15.37528798,52.14623499,61.5285806,61.41334829,54.15645617,44.80651731,47.05882353,57.8209025,40.23255814,45.59099437,41.11479029,49.54268293
2009-10-01,"1,581",25.41,74.86132682,15.99179055,49.72265365,56.02948095,57.12890625,53.81342062,42.74626866,45.00533781,55.50280535,36.64122137,32.70676692,42.08416834,50
2009-11-01,"1,556",21.94,75.33454393,16.02458444,50.66908786,57.04336815,56.66836995,56.20663069,44.00963275,43.58515869,53.39896859,45.55873926,23.1372549,46.61902144,53.40687865
2009-12-01,"1,683",20.35,75.94403396,15.68935702,51.88806791,56.42844783,57.14285714,58.68673051,41.64588529,45.67730802,54.1487069,49.22048998,27.46478873,49.06003639,56.87203791
2010-01-01,"1,602",23.29,74.80553684,16.17565995,49.61107368,54.72904746,51.66070516,56.64267016,38.23637029,44.15437003,50.65229722,44.14414414,32.98429319,48.31526516,51.45197319
2010-02-01,"1,595",20.59,74.43642009,16.41468683,48.87284017,58.712259,53.69085174,54.81049563,32.68783888,44.31095406,50.20667727,52.16138329,37.79904306,42.82951982,42.88
2010-03-01,"1,693",17.68,75.14260104,15.42128422,50.28520209,60.98890403,54.63576159,53.03754266,30.05936319,49.98896491,51.62002946,53.60824742,37.67605634,42.34792716,38.54059609
2010-04-01,"1,742",18.27,74.61039419,15.33389747,49.22078838,60.98146877,44.29530201,52.75080906,30.63241107,49.47965941,49.16452442,59.53757225,29.91735537,41.46179402,34.7130762
2010-05-01,"1,641",24.01,75.94189741,14.80847795,51.88379483,63.62098139,49.90415335,56.86813187,35.17753922,48.88454012,51.13858165,66.61316212,28.83642496,44.30628272,46.8907563
2010-06-01,"1,698",21.9,77.80194701,13.63620155,55.60389402,64.82582838,49.41824862,61.70473083,38.95619758,53.10454275,55.00476644,67.64295676,27.06333973,49.58825636,54.93630573
2010-07-01,"1,759",19.26,76.43664821,14.54720297,52.87329642,59.7100472,47.68590744,60.41868579,36.38634471,51.72790105,54.20721236,65.25096525,26.05042017,46.98055271,49.65421853
2010-08-01,"1,743",18.79,76.3834926,14.81325913,52.76698519,57.11678832,54.39814815,59.52478492,33.86727689,51.57688541,56.64206642,67.22689076,32.58003766,48.4375,49.84045948
2010-09-01,"1,873",16.77,76.19420517,14.95693031,52.38841034,51.48613605,52.37449118,58.76882197,32.3903819,56.30215195,58.83520847,70.95435685,27.88259958,47.73427189,44.84272129
2010-10-01,"1,883",18.6,74.539214,16.09404496,49.07842801,46.43693543,51.13636364,57.34083149,31.90815519,52.40782543,55.44995545,66.9250646,31.04761905,41.51820294,42.95212766
2010-11-01,"1,905",22.76,76.67865315,14.883949,53.35730631,50.74174509,59.06913073,61.87063926,38.99260303,53.85179751,60.78654887,71.77033493,38.21138211,46.5942029,44.75733972
2010-12-01,"2,051",15.83,77.57794185,14.39868435,55.15588369,52.82067956,61.75413372,64.68321918,44.17637271,55.09168943,60.16283803,71.46144994,40.40219378,47.03718839,44.68362688
2011-01-01,"2,070",16.3,76.33371005,14.85119824,52.66742009,53.33702575,55.05481121,61.69369369,45.3003054,50.2036979,57.64816116,67.09090909,37.52122241,41.55759162,43.72146119
2011-02-01,"1,939",20.06,77.07267811,14.21963058,54.14535622,59.35706085,53.71900826,60.43824701,45.95170455,50.10853835,59.87345109,70.26239067,36.68528864,44.06368986,42.96875
2011-03-01,"2,107",16.57,75.90299467,14.91456917,51.80598934,58.37676843,46.23154623,56.69683258,44.20783646,47.80392157,58.33093525,66.88453159,31.09619687,40.10479645,44.69641551
2011-04-01,"2,192",18.36,75.76523269,14.78970094,51.53046538,54.98839907,51.38539043,56.85051647,43.81598793,48.61086533,57.17691941,65.95744681,16.54320988,44.40052701,43.94124847
2011-05-01,"2,142",18.56,77.19053769,13.99293046,54.38107539,57.55086072,60.18336608,60.82051282,40.20766201,53.41159208,58.54488354,66.89342404,12.91866029,51.21450564,47.00432366
2011-06-01,"2,101",19.24,77.39651785,14.18941806,54.7930357,51.25797972,60.71209331,63.71681416,42.87931704,54.47184395,57.90891943,64.99416569,12.35955056,54.59308418,50.69560378
